Ano,Faixa_Etaria,Total_Obitos
2006,<1 ano,1216
2006,01 a 04 anos,223
2006,05 a 09 anos,143
2006,10 a 14 anos,151
2006,15 a 19 anos,506
2006,20 a 29 anos,1527
2006,30 a 39 anos,1972
2006,40 a 49 anos,3447
2006,50 a 59 anos,4922
2006,60 a 69 anos,6234
2006,70 a 79 anos,7336
2006,80+ anos,4752
2007,<1 ano,1103
2007,01 a 04 anos,186
2007,05 a 09 anos,108
2007,10 a 14 anos,127
2007,15 a 19 anos,455
2007,20 a 29 anos,1504
2007,30 a 39 anos,1921
2007,40 a 49 anos,3302
2007,50 a 59 anos,5098
2007,60 a 69 anos,6342
2007,70 a 79 anos,7466
2007,80+ anos,4913
2008,<1 ano,1154
2008,01 a 04 anos,215
2008,05 a 09 anos,117
2008,10 a 14 anos,141
2008,15 a 19 anos,429
2008,20 a 29 anos,1402
2008,30 a 39 anos,1839
2008,40 a 49 anos,3253
2008,50 a 59 anos,5161
2008,60 a 69 anos,6536
2008,70 a 79 anos,7358
2008,80+ anos,5138
2009,<1 ano,1140
2009,01 a 04 anos,183
2009,05 a 09 anos,110
2009,10 a 14 anos,126
2009,15 a 19 anos,391
2009,20 a 29 anos,1450
2009,30 a 39 anos,1928
2009,40 a 49 anos,3184
2009,50 a 59 anos,5291
2009,60 a 69 anos,6591
2009,70 a 79 anos,7144
2009,80+ anos,5442
2010,<1 ano,1075
2010,01 a 04 anos,160
2010,05 a 09 anos,102
2010,10 a 14 anos,141
2010,15 a 19 anos,437
2010,20 a 29 anos,1411
2010,30 a 39 anos,1900
2010,40 a 49 anos,3207
2010,50 a 59 anos,5424
2010,60 a 69 anos,6811
2010,70 a 79 anos,7853
2010,80+ anos,5985
2011,<1 ano,1034
2011,01 a 04 anos,170
2011,05 a 09 anos,101
2011,10 a 14 anos,150
2011,15 a 19 anos,421
2011,20 a 29 anos,1361
2011,30 a 39 anos,1893
2011,40 a 49 anos,3313
2011,50 a 59 anos,5649
2011,60 a 69 anos,7108
2011,70 a 79 anos,8037
2011,80+ anos,6090
2012,<1 ano,1057
2012,01 a 04 anos,156
2012,05 a 09 anos,76
2012,10 a 14 anos,133
2012,15 a 19 anos,490
2012,20 a 29 anos,1364
2012,30 a 39 anos,1891
2012,40 a 49 anos,3221
2012,50 a 59 anos,5338
2012,60 a 69 anos,7049
2012,70 a 79 anos,7206
2012,80+ anos,6251
2013,<1 ano,1023
2013,01 a 04 anos,159
2013,05 a 09 anos,94
2013,10 a 14 anos,118
2013,15 a 19 anos,424
2013,20 a 29 anos,1301
2013,30 a 39 anos,1857
2013,40 a 49 anos,3244
2013,50 a 59 anos,5613
2013,60 a 69 anos,7396
2013,70 a 79 anos,7970
2013,80+ anos,6440
2014,<1 ano,1065
2014,01 a 04 anos,149
2014,05 a 09 anos,85
2014,10 a 14 anos,120
2014,15 a 19 anos,519
2014,20 a 29 anos,1319
2014,30 a 39 anos,1715
2014,40 a 49 anos,3078
2014,50 a 59 anos,5635
2014,60 a 69 anos,7572
2014,70 a 79 anos,8146
2014,80+ anos,6839
2015,<1 ano,1015
2015,01 a 04 anos,125
2015,05 a 09 anos,74
2015,10 a 14 anos,135
2015,15 a 19 anos,474
2015,20 a 29 anos,1282
2015,30 a 39 anos,1749
2015,40 a 49 anos,3003
2015,50 a 59 anos,5552
2015,60 a 69 anos,7842
2015,70 a 79 anos,8359
2015,80+ anos,7100
2016,<1 ano,990
2016,01 a 04 anos,156
2016,05 a 09 anos,86
2016,10 a 14 anos,110
2016,15 a 19 anos,427
2016,20 a 29 anos,1137
2016,30 a 39 anos,1795
2016,40 a 49 anos,3030
2016,50 a 59 anos,5973
2016,60 a 69 anos,8481
2016,70 a 79 anos,8420
2016,80+ anos,7516
2017,<1 ano,937
2017,01 a 04 anos,136
2017,05 a 09 anos,82
2017,10 a 14 anos,107
2017,15 a 19 anos,382
2017,20 a 29 anos,1053
2017,30 a 39 anos,1703
2017,40 a 49 anos,2891
2017,50 a 59 anos,5662
2017,60 a 69 anos,8399
2017,70 a 79 anos,8648
2017,80+ anos,7503
2018,<1 ano,955
2018,01 a 04 anos,161
2018,05 a 09 anos,81
2018,10 a 14 anos,89
2018,15 a 19 anos,368
2018,20 a 29 anos,1086
2018,30 a 39 anos,1594
2018,40 a 49 anos,2876
2018,50 a 59 anos,5450
2018,60 a 69 anos,8468
2018,70 a 79 anos,8861
2018,80+ anos,7640
2019,<1 ano,955
2019,01 a 04 anos,166
2019,05 a 09 anos,80
2019,10 a 14 anos,100
2019,15 a 19 anos,381
2019,20 a 29 anos,1083
2019,30 a 39 anos,1673
2019,40 a 49 anos,2799
2019,50 a 59 anos,5565
2019,60 a 69 anos,8749
2019,70 a 79 anos,8988
2019,80+ anos,8043
2020,<1 ano,797
2020,01 a 04 anos,116
2020,05 a 09 anos,73
2020,10 a 14 anos,83
2020,15 a 19 anos,351
2020,20 a 29 anos,1260
2020,30 a 39 anos,1977
2020,40 a 49 anos,3387
2020,50 a 59 anos,6372
2020,60 a 69 anos,10612
2020,70 a 79 anos,10669
2020,80+ anos,8952
2021,<1 ano,753
2021,01 a 04 anos,120
2021,05 a 09 anos,70
2021,10 a 14 anos,76
2021,15 a 19 anos,251
2021,20 a 29 anos,1388
2021,30 a 39 anos,2670
2021,40 a 49 anos,5144
2021,50 a 59 anos,9037
2021,60 a 69 anos,13449
2021,70 a 79 anos,13016
2021,80+ anos,9675
2022,<1 ano,832
2022,01 a 04 anos,152
2022,05 a 09 anos,77
2022,10 a 14 anos,97
2022,15 a 19 anos,304
2022,20 a 29 anos,1197
2022,30 a 39 anos,1781
2022,40 a 49 anos,3316
2022,50 a 59 anos,5759
2022,60 a 69 anos,9902
2022,70 a 79 anos,10253
2022,80+ anos,9787
2023,<1 ano,793
2023,01 a 04 anos,173
2023,05 a 09 anos,91
2023,10 a 14 anos,82
2023,15 a 19 anos,262
2023,20 a 29 anos,1072
2023,30 a 39 anos,1725
2023,40 a 49 anos,3138
2023,50 a 59 anos,5605
2023,60 a 69 anos,9612
2023,70 a 79 anos,10527
2023,80+ anos,9041
2024,<1 ano,743
2024,01 a 04 anos,156
2024,05 a 09 anos,114
2024,10 a 14 anos,123
2024,15 a 19 anos,269
2024,20 a 29 anos,1142
2024,30 a 39 anos,1850
2024,40 a 49 anos,3390
2024,50 a 59 anos,5777
2024,60 a 69 anos,9878
2024,70 a 79 anos,10586
2024,80+ anos,9739
