Ano,Cid,Descricao_Causa,Total_Obitos
2006,I219,Infarto agudo do miocardio nao especificado,2324
2006,R99,Outras causas mal definidas e as nao especificadas de mortalidade,1052
2006,J180,Broncopneumonia nao especificada,972
2006,I64,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",962
2006,J189,Pneumonia nao especificada,724
2007,I219,Infarto agudo do miocardio nao especificado,2458
2007,R99,Outras causas mal definidas e as nao especificadas de mortalidade,985
2007,I64,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",911
2007,J180,Broncopneumonia nao especificada,892
2007,J189,Pneumonia nao especificada,776
2008,I219,Infarto agudo do miocardio nao especificado,2445
2008,R99,Outras causas mal definidas e as nao especificadas de mortalidade,1003
2008,J180,Broncopneumonia nao especificada,940
2008,J189,Pneumonia nao especificada,841
2008,I64,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",827
2009,I219,Infarto agudo do miocardio nao especificado,2474
2009,R99,Outras causas mal definidas e as nao especificadas de mortalidade,995
2009,J180,Broncopneumonia nao especificada,904
2009,J189,Pneumonia nao especificada,879
2009,I64,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",791
2010,I219,Infarto agudo do miocardio nao especificado,2634
2010,R99,Outras causas mal definidas e as nao especificadas de mortalidade,1048
2010,J180,Broncopneumonia nao especificada,1040
2010,J189,Pneumonia nao especificada,960
2010,I64,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",891
2011,I219,Infarto agudo do miocardio nao especificado,1537
2011,J180,Broncopneumonia nao especificada,602
2011,J189,Pneumonia nao especificada,600
2011,I64,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",574
2011,R99,Outras causas mal definidas e as nao especificadas de mortalidade,556
