Ano,Descricao_Causa,Total_Obitos
2006,Infarto agudo do miocardio nao especificado,2324
2006,Outras causas mal definidas e as nao especificadas de mortalidade,1052
2006,Broncopneumonia nao especificada,972
2006,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",962
2006,Pneumonia nao especificada,724
2007,Infarto agudo do miocardio nao especificado,2458
2007,Outras causas mal definidas e as nao especificadas de mortalidade,985
2007,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",911
2007,Broncopneumonia nao especificada,892
2007,Pneumonia nao especificada,776
2008,Infarto agudo do miocardio nao especificado,2445
2008,Outras causas mal definidas e as nao especificadas de mortalidade,1003
2008,Broncopneumonia nao especificada,940
2008,Pneumonia nao especificada,841
2008,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",827
2009,Infarto agudo do miocardio nao especificado,2474
2009,Outras causas mal definidas e as nao especificadas de mortalidade,995
2009,Broncopneumonia nao especificada,904
2009,Pneumonia nao especificada,879
2009,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",791
2010,Infarto agudo do miocardio nao especificado,2634
2010,Outras causas mal definidas e as nao especificadas de mortalidade,1048
2010,Broncopneumonia nao especificada,1040
2010,Pneumonia nao especificada,960
2010,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",891
2011,Infarto agudo do miocardio nao especificado,2699
2011,Pneumonia nao especificada,1037
2011,Broncopneumonia nao especificada,1002
2011,Outras causas mal definidas e as nao especificadas de mortalidade,951
2011,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",929
2012,Infarto agudo do miocardio nao especificado,2580
2012,Pneumonia nao especificada,1160
2012,Outras causas mal definidas e as nao especificadas de mortalidade,927
2012,Broncopneumonia nao especificada,906
2012,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",786
2013,Infarto agudo do miocardio nao especificado,2889
2013,Pneumonia nao especificada,1147
2013,Broncopneumonia nao especificada,1018
2013,Outras causas mal definidas e as nao especificadas de mortalidade,953
2013,"Bronquios ou pulmoes, nao especificado",814
2014,Infarto agudo do miocardio nao especificado,2717
2014,Pneumonia nao especificada,1319
2014,Broncopneumonia nao especificada,999
2014,"Bronquios ou pulmoes, nao especificado",886
2014,Outras causas mal definidas e as nao especificadas de mortalidade,872
2015,Infarto agudo do miocardio nao especificado,2908
2015,Pneumonia nao especificada,1387
2015,Broncopneumonia nao especificada,1039
2015,"Bronquios ou pulmoes, nao especificado",877
2015,Outras causas mal definidas e as nao especificadas de mortalidade,876
2016,Infarto agudo do miocardio nao especificado,3053
2016,Pneumonia nao especificada,1481
2016,Broncopneumonia nao especificada,1039
2016,Outras causas mal definidas e as nao especificadas de mortalidade,1009
2016,"Bronquios ou pulmoes, nao especificado",853
2017,Infarto agudo do miocardio nao especificado,3011
2017,Pneumonia nao especificada,1297
2017,Outras causas mal definidas e as nao especificadas de mortalidade,1013
2017,Broncopneumonia nao especificada,987
2017,"Bronquios ou pulmoes, nao especificado",945
2018,Infarto agudo do miocardio nao especificado,2893
2018,Pneumonia nao especificada,1322
2018,Outras causas mal definidas e as nao especificadas de mortalidade,1072
2018,Broncopneumonia nao especificada,911
2018,"Bronquios ou pulmoes, nao especificado",889
2019,Infarto agudo do miocardio nao especificado,1382
2019,Outras causas mal definidas e as nao especificadas de mortalidade,554
2019,Pneumonia nao especificada,481
2019,"Bronquios ou pulmoes, nao especificado",457
2019,Broncopneumonia nao especificada,299
2024,Infarto agudo do miocardio nao especificado,1
